radio,mcc,mnc,lac,cid,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,geometry,City,Region,location,d_nearest_road
GSM,624,2,65301,9502,0,11.51435852,3.845901489,1000,1,1,1347010488,1347010488,0,POINT (11.514358520508 3.8459014892578),Yaounde,Centre,urban,0.016266009
GSM,624,2,65301,9623,0,11.58164978,3.856887817,1000,1,1,1343196924,1343196924,0,POINT (11.581649780273 3.8568878173828),Yaounde,Centre,urban,0.008398975
GSM,624,2,65301,9631,0,11.543198,3.826675,1023,2,1,1342640346,1358308704,0,POINT (11.543198 3.826675),Yaounde,Centre,urban,0.017627566
GSM,624,2,65301,9771,0,11.52946472,3.801956177,1000,1,1,1340283367,1340283367,0,POINT (11.52946472168 3.8019561767578),Yaounde,Centre,urban,0.019880826
GSM,624,2,65301,9772,0,11.5322113,3.81980896,1000,1,1,1347363955,1347363955,0,POINT (11.532211303711 3.8198089599609),Yaounde,Centre,urban,0.019810842
GSM,624,2,65301,9773,0,11.527405,3.815689,1000,2,1,1347384920,1359013107,0,POINT (11.527405 3.815689),Yaounde,Centre,urban,0.010584436
GSM,624,2,65301,9801,0,11.51985168,3.807449341,1000,1,1,1345434067,1345434067,0,POINT (11.51985168457 3.8074493408203),Yaounde,Centre,urban,0.01089385
GSM,624,2,65301,9802,0,11.516418,3.813629,1000,2,1,1342193993,1352109020,0,POINT (11.516418 3.813629),Yaounde,Centre,urban,0.018785285
GSM,624,2,65301,9843,0,11.5473175,3.855514526,1000,2,1,1378476479,1380164294,0,POINT (11.547317504883 3.8555145263672),Yaounde,Centre,urban,0.009713846
GSM,624,2,65301,9892,0,11.51847839,3.863754272,1000,1,1,1341586269,1341586269,0,POINT (11.518478393555 3.8637542724609),Yaounde,Centre,urban,0.001356279
GSM,624,2,65301,9893,0,11.510925,3.842468,1127,2,1,1338374651,1345810855,0,POINT (11.510925 3.842468),Yaounde,Centre,urban,0.010167815
GSM,624,2,65301,9993,0,11.535645,3.773804,1000,2,1,1338023179,1342155590,0,POINT (11.535645 3.773804),Yaounde,Centre,urban,1.97E-05
GSM,624,2,65301,10142,0,11.53083801,3.856887817,1000,1,1,1382317456,1382317456,0,POINT (11.530838012695 3.8568878173828),Yaounde,Centre,urban,0.00361597
GSM,624,2,65301,10143,0,11.530609,3.858261,1000,6,1,1376784880,1380698049,0,POINT (11.530609 3.858261),Yaounde,Centre,urban,0.002009091
GSM,624,2,65301,10201,0,11.527405,3.828049,1000,2,1,1356505288,1358125898,0,POINT (11.527405 3.828049),Yaounde,Centre,urban,0.0004668
GSM,624,2,65301,10253,0,11.556381,3.830246,2605,10,1,1339272524,1380437739,0,POINT (11.556381 3.830246),Yaounde,Centre,urban,0.001575917
GSM,624,2,65301,10301,0,11.528334,3.824494,2657,17,1,1340912999,1358939509,0,POINT (11.528334 3.824494),Yaounde,Centre,urban,0.002966399
GSM,624,2,65301,17592,0,11.55143738,3.829421997,1000,1,1,1419151406,1419151406,0,POINT (11.55143737793 3.8294219970703),Yaounde,Centre,urban,0.004286007
GSM,624,2,65301,17593,0,11.55693054,3.825302124,1000,1,1,1427537284,1427537284,0,POINT (11.556930541992 3.8253021240234),Yaounde,Centre,urban,0.000866694
GSM,624,2,65301,20987,0,11.52397156,3.859634399,1000,1,1,1419221770,1419221770,0,POINT (11.523971557617 3.8596343994141),Yaounde,Centre,urban,0.001156752
GSM,624,2,65301,22325,0,11.55143738,3.829421997,1000,1,1,1419151407,1419151407,0,POINT (11.55143737793 3.8294219970703),Yaounde,Centre,urban,0.002695129
GSM,624,2,65301,36053,0,11.510925,3.845901,1000,2,1,1345145529,1358390969,0,POINT (11.510925 3.845901),Yaounde,Centre,urban,0.005601902
GSM,624,2,65301,36061,0,11.516953,3.842239,1961,9,1,1342025881,1358398171,0,POINT (11.516953 3.842239),Yaounde,Centre,urban,0.003818656
GSM,624,2,65301,36062,0,11.520767,3.85231,1980,3,1,1339971275,1357122325,0,POINT (11.520767 3.85231),Yaounde,Centre,urban,0.001686974
GSM,624,2,65301,36063,0,11.512711,3.842606,1981,5,1,1338141523,1350044240,0,POINT (11.512711 3.842606),Yaounde,Centre,urban,0.000403266
GSM,624,2,65301,36072,0,11.521912,3.851395,2624,8,1,1341430860,1382678582,0,POINT (11.521912 3.851395),Yaounde,Centre,urban,0.000128507
