,cell,mcc,net,area,lon,lat,zone,road,dist_road,traffic,priority
24709,12889091,624,2,43604,11.578903198242,3.8733673095703,1,POINT (11.58153977102612 3.862065529932352),1.2902929642806418,0.7049094330135024,0.0
24710,12912386,624,2,43625,11.517105102539,3.8665008544922,1,POINT (11.51568257105859 3.8661349439231),0.1629787569736969,0.5811858411317119,0.0
24711,12810497,624,2,43603,11.540451049805,3.8706207275391002,1,POINT (11.54025194091693 3.873956684507533),0.3715986125650922,0.09272173064224143,0.0
24712,12898049,624,2,43622,11.532211303711,3.9557647705078,0,POINT (11.53226038297421 3.955541184675639),0.025450751734902383,0.0662841514346858,0.0
24713,12869123,624,2,43603,11.539077758789,3.8706207275391002,1,POINT (11.53717058567227 3.87283493440583),0.3246327755171456,0.5411193999675398,0.0
24714,12811010,624,2,43625,11.518478393555,3.8678741455078,1,POINT (11.51563362074407 3.866268970554842),0.36257918694940483,0.332171940789486,0.0
24715,20121,624,1,113,13.571548461914,10.612106323242001,0,POINT (13.57166199849325 10.6129600649933),0.09573930455397876,0.8502965886781764,0.0
24716,20122,624,1,113,13.578414916992,10.61897277832,0,POINT (13.57883707524783 10.61999809763103),0.12299208462550801,0.75938624850113,0.0
24717,84893,624,1,1,9.5876312255859,4.1233062744141,0,POINT (9.586578419399814 4.123902438751742),0.13426903423806008,0.22711460943382134,0.0
24718,22558,624,1,52,14.306259155272999,10.594253540039,1,POINT (14.30882959548396 10.59036077765688),0.5160392145984576,0.295470856640522,0.0
24719,363786,624,1,52,14.306259155272999,10.594253540039,1,POINT (14.30882959548396 10.59036077765688),0.5160392145984576,0.6470808851772482,0.0
24720,363806,624,1,52,14.306259155272999,10.587387084961,1,POINT (14.30618267428079 10.58776222003502),0.04254251538835849,0.8613214810018922,0.0
24721,19828370,624,2,31021,9.7098541259766,4.0573883056641,1,POINT (9.70953775383208 4.057570487788468),0.04051839145358128,0.8182425937997999,0.0
24722,19822245,624,2,31021,9.6974945068359,4.0518951416016,1,POINT (9.697078725316885 4.052547967587884),0.08600140613097179,0.8214168792371732,0.0
24723,19822729,624,2,31021,9.697495,4.051208,1,POINT (9.69625025800724 4.051600141977019),0.1447851894834124,0.2995652489857491,0.0
24724,19828325,624,2,31021,9.7098541259766,4.0560150146484,1,POINT (9.708879690613912 4.056999764001375),0.1538555290692259,0.6815997625104188,0.0
24725,19828343,624,2,31021,9.7180938720703,4.0670013427734,1,POINT (9.716616522519189 4.067505892896179),0.17319846594586882,0.19911128174787085,0.0
24726,19828504,624,2,31021,9.6974945068359,4.0518951416016,1,POINT (9.697078725316885 4.052547967587884),0.08600140613097179,0.261770576153862,0.0
24727,19822241,624,2,31021,9.7098541259766,4.0573883056641,1,POINT (9.70953775383208 4.057570487788468),0.04051839145358128,0.3468072523182095,0.0
24728,19822553,624,2,31008,9.738235000000001,4.042282,1,POINT (9.739275237549123 4.041176993923642),0.16855320400732568,0.6167368994211478,0.0
24729,19828418,624,2,31008,9.744077,4.042682,1,POINT (9.743949657310935 4.042452468129568),0.02917048955324073,0.08920359734570915,0.0
24730,19824077,624,2,31008,9.7441864013672,4.0464019775391,1,POINT (9.744626244535112 4.044019045832698),0.26942378791394994,0.49620208139989663,0.0
24731,11152,624,1,51,14.557571411133,5.887985229492201,0,POINT (14.55375458972725 5.884690179516411),0.5589938094904865,0.6312191391801012,0.0
24732,21224,624,2,20023,11.526718139647999,3.7868499755858998,1,POINT (11.52456244309965 3.786426565142307),0.24376901078723953,0.06667526610809615,0.0
24733,131214614,624,1,52,13.803634643555,10.741195678711,0,POINT (13.80370166062596 10.74102959433336),0.01986605776138117,0.5243617778861307,0.0
