radio,mcc,mnc,lac,cid,cgi,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,geometry,City,Region
UMTS,624,2,1005,35234,624023ED89A2,0,9.159164429,4.024429321,1000,1,1,1474275215,1474275215,0,POINT (9.1591644287109 4.0244293212891),Limbe,South-West
UMTS,624,2,1005,35262,624023ED89BE,0,9.452362,4.609451,1000,2,1,1477006643,1480190017,0,POINT (9.452361999999999 4.609451),Kumba,South-West
UMTS,624,2,1005,35278,624023ED89CE,0,9.451675415,4.609451294,1000,1,1,1476948958,1476948958,0,POINT (9.4516754150391 4.6094512939453),Kumba,South-West
UMTS,624,2,1005,35284,624023ED89D4,0,9.436569214,4.634170532,1000,1,1,1473845985,1473845985,0,POINT (9.4365692138672 4.6341705322266),Kumba,South-West
UMTS,624,2,1005,35327,624023ED89FF,0,10.715737,3.891301,1000,1,1,1505665226,1505693774,0,POINT (10.715737 3.891301),Eseka,Centre
UMTS,624,2,1005,35328,624023ED8A00,0,10.723396,3.892892,1000,3,1,1505665226,1505693774,0,POINT (10.723396 3.892892),Eseka,Centre
UMTS,624,2,1005,35329,624023ED8A01,0,10.69313,3.876572,3810,3,1,1458867131,1481614125,0,POINT (10.69313 3.876572),Eseka,Centre
UMTS,624,2,1005,35331,624023ED8A03,0,10.69931,3.88298,1000,2,1,1474028675,1482903735,0,POINT (10.69931 3.88298),Eseka,Centre
UMTS,624,2,1005,35332,624023ED8A04,0,10.77140808,3.891220093,1000,1,1,1480910733,1480910733,0,POINT (10.771408081055 3.8912200927734),Eseka,Centre
UMTS,624,2,1005,35333,624023ED8A05,0,10.690842,3.880234,1000,3,1,1474028675,1482903735,0,POINT (10.690842 3.880234),Eseka,Centre
UMTS,624,2,1005,35474,624023ED8A92,0,10.76454163,3.664627075,1000,1,1,1477670847,1477670847,0,POINT (10.764541625977 3.6646270751953),Eseka,Centre
UMTS,624,2,1005,35511,624023ED8AB7,0,9.930953979,4.973373413,1000,1,1,1478868739,1478868739,0,POINT (9.9309539794922 4.9733734130859),Nkongsamba,Littoral
UMTS,624,2,1005,35524,624023ED8AC4,0,9.64805603,4.581985474,1000,1,1,1475593710,1475593710,0,POINT (9.6480560302734 4.5819854736328),Penja,Littoral
UMTS,624,2,1005,35525,624023ED8AC5,0,9.56703186,4.500961304,1000,1,1,1475071977,1475071977,0,POINT (9.5670318603516 4.5009613037109),Mbanga,Littoral
UMTS,624,2,1005,35527,624023ED8AC7,0,9.64805603,4.581985474,1000,1,1,1486561277,1486561277,0,POINT (9.6480560302734 4.5819854736328),Penja,Littoral
UMTS,624,2,1005,35529,624023ED8AC9,0,9.562911987,4.417190552,1000,1,1,1475825054,1475825054,0,POINT (9.5629119873047 4.4171905517578),Ndom,Littoral
UMTS,624,2,1005,35531,624023ED8ACB,0,9.64805603,4.581985474,1000,2,1,1470857933,1480068773,0,POINT (9.6480560302734 4.5819854736328),Penja,Littoral
UMTS,624,2,1005,35532,624023ED8ACC,0,9.653549194,4.583358765,1000,1,1,1480070582,1480070582,0,POINT (9.6535491943359 4.5833587646484),Penja,Littoral
UMTS,624,2,1005,35533,624023ED8ACD,0,9.64805603,4.581985474,1000,1,1,1475593434,1475593434,0,POINT (9.6480560302734 4.5819854736328),Penja,Littoral
UMTS,624,2,1005,35535,624023ED8ACF,0,9.653549194,4.583358765,1000,1,1,1480070572,1480070572,0,POINT (9.6535491943359 4.5833587646484),Penja,Littoral
UMTS,624,2,1005,35536,624023ED8AD0,0,9.64805603,4.581985474,1000,1,1,1475630902,1475630902,0,POINT (9.6480560302734 4.5819854736328),Penja,Littoral
UMTS,624,2,1005,35544,624023ED8AD8,0,9.606857,4.202271,2926,2,1,1456387197,1475825054,0,POINT (9.606857000000002 4.202271),Dibombari,Littoral
UMTS,624,2,1005,35545,624023ED8AD9,0,9.595870972,4.165878296,1000,1,1,1475825054,1475825054,0,POINT (9.5958709716797 4.1658782958984),Dibombari,Littoral
UMTS,624,2,1005,35546,624023ED8ADA,0,9.48326,4.127886,8966,3,1,1456387198,1477366717,0,POINT (9.483260000000001 4.127886),Tiko,South-West
UMTS,624,2,1005,35548,624023ED8ADC,0,9.597931,4.172058,1000,2,1,1456387197,1479266763,0,POINT (9.597930999999999 4.172058),Dibombari,Littoral
UMTS,624,2,1005,35549,624023ED8ADD,0,9.567719,4.145279,2518,2,1,1456387197,1477366717,0,POINT (9.567719 4.145279),Dibombari,Littoral
UMTS,624,2,1005,35552,624023ED8AE0,0,9.773025513,4.830551147,1000,1,1,1482212534,1482212534,0,POINT (9.7730255126953 4.8305511474609),Manjo,Littoral
UMTS,624,2,1005,35554,624023ED8AE2,0,9.83757019,4.858016968,1000,1,1,1482212534,1482212534,0,POINT (9.8375701904297 4.8580169677734),Manjo,Littoral
UMTS,624,2,1005,35558,624023ED8AE6,0,9.95787,5.131577,2278,5,1,1474459958,1487057952,0,POINT (9.95787 5.131577),Melong,Littoral
UMTS,624,2,1005,35559,624023ED8AE7,0,9.880142212,4.932174683,1000,1,1,1471575112,1471575112,0,POINT (9.8801422119141 4.9321746826172),Nkongsamba,Littoral
UMTS,624,2,1005,35562,624023ED8AEA,0,9.95842,5.1194,2229,3,1,1474445405,1487057952,0,POINT (9.95842 5.1194),Melong,Littoral
UMTS,624,2,1005,35569,624023ED8AF1,0,9.722213745,4.722061157,1000,1,1,1482212534,1482212534,0,POINT (9.7222137451172 4.7220611572266),Loum,Littoral
UMTS,624,2,1005,35584,624023ED8B00,0,9.925461,4.929428,1365,3,1,1472468404,1483524357,0,POINT (9.925461 4.929428),Nkongsamba,Littoral
UMTS,624,2,1005,35587,624023ED8B03,0,9.924774,4.925308,1000,2,1,1476385851,1477142829,0,POINT (9.924774000000001 4.925308),Nkongsamba,Littoral
UMTS,624,2,1005,35633,624023ED8B31,0,9.057541,4.054642,1000,2,1,1451115104,1451115104,0,POINT (9.057541000000001 4.054641999999999),Limbe,South-West
UMTS,624,2,1005,35636,624023ED8B34,0,9.073566,4.047305,2437,2,1,1456387198,1505373298,0,POINT (9.073566 4.047305000000001),Limbe,South-West
UMTS,624,2,1005,35645,624023ED8B3D,0,9.221878,3.964462,1000,3,1,1462538304,1484557851,0,POINT (9.221878 3.964462),Limbe,South-West
UMTS,624,2,1005,35646,624023ED8B3E,0,9.224808,3.967575,1000,5,1,1458867131,1484800904,0,POINT (9.224807999999999 3.967575),Limbe,South-West
UMTS,624,2,1005,35657,624023ED8B49,0,10.02433777,5.165634155,1000,1,1,1474956144,1474956144,0,POINT (10.024337768555 5.1656341552734),Melong,Littoral
UMTS,624,2,1005,35658,624023ED8B4A,0,9.977188,5.130387,4043,3,1,1473620730,1480236596,0,POINT (9.977188 5.130387000000001),Melong,Littoral
UMTS,624,2,1005,35659,624023ED8B4B,0,9.981078,5.128556,3748,2,1,1476487238,1480236596,0,POINT (9.981078 5.128556),Melong,Littoral
UMTS,624,2,1005,35662,624023ED8B4E,0,9.962539673,5.125808716,1000,1,1,1476709534,1476709534,0,POINT (9.9625396728516 5.1258087158203),Melong,Littoral
UMTS,624,2,1005,35663,624023ED8B4F,0,9.951553345,5.113449097,1000,1,1,1476457512,1476457512,0,POINT (9.9515533447266 5.1134490966797),Melong,Littoral
UMTS,624,2,1005,35671,624023ED8B57,0,9.913045,2.957134,1000,2,1,1466230021,1505839233,0,POINT (9.913045 2.957134),Kribi,South
UMTS,624,2,1005,35672,624023ED8B58,0,9.915848,2.954178,1000,3,1,1466885349,1468071556,0,POINT (9.915848 2.954178),Kribi,South
UMTS,624,2,1005,35673,624023ED8B59,0,9.913325,2.951645,2576,13,1,1458867131,1505834377,0,POINT (9.913325 2.951645),Kribi,South
UMTS,624,2,1005,35681,624023ED8B61,0,9.906234741,2.934036255,1000,1,1,1456396387,1456396387,0,POINT (9.9062347412109 2.9340362548828),Kribi,South
UMTS,624,2,1005,35684,624023ED8B64,0,9.925460815,2.990341187,1000,1,1,1452177431,1452177431,0,POINT (9.9254608154297 2.9903411865234),Kribi,South
UMTS,624,2,1005,35685,624023ED8B65,0,9.91859436,2.949142456,1000,1,1,1451280301,1451280301,0,POINT (9.9185943603516 2.9491424560547),Kribi,South
UMTS,624,2,1005,35686,624023ED8B66,0,9.916818,2.972405,1270,16,1,1467912463,1505838613,0,POINT (9.916817999999999 2.972405),Kribi,South
UMTS,624,2,1005,35687,624023ED8B67,0,9.907608032,2.903823853,1000,1,1,1468127117,1468127117,0,POINT (9.9076080322266 2.9038238525391),Kribi,South
UMTS,624,2,1005,35694,624023ED8B6E,0,9.912156,2.941681,1000,4,1,1458867131,1505834454,0,POINT (9.912156 2.941681),Kribi,South
UMTS,624,2,1005,35695,624023ED8B6F,0,9.911521,2.939056,1000,3,1,1458867131,1505797725,0,POINT (9.911521 2.939056),Kribi,South
UMTS,624,2,1005,35696,624023ED8B70,0,9.907608,2.937469,1000,2,1,1473985240,1474012859,0,POINT (9.907608 2.937469),Kribi,South
UMTS,624,2,1005,35701,624023ED8B75,0,9.208602905,4.014816284,1000,1,1,1468305084,1468305084,0,POINT (9.2086029052734 4.0148162841797),Limbe,South-West
UMTS,624,2,1005,35702,624023ED8B76,0,9.209976196,4.006576538,1000,3,1,1469178431,1481963352,0,POINT (9.2099761962891 4.0065765380859),Limbe,South-West
UMTS,624,2,1005,35703,624023ED8B77,0,9.209976,4.014816,1000,2,1,1471975526,1474093227,0,POINT (9.209975999999999 4.014816000000001),Limbe,South-West
UMTS,624,2,1005,35704,624023ED8B78,0,9.2082,4.01425,1000,10,1,1470942579,1492540200,0,POINT (9.2082 4.01425),Limbe,South-West
UMTS,624,2,1005,35705,624023ED8B79,0,9.209976,4.011383,1000,2,1,1480662467,1482905129,0,POINT (9.209975999999999 4.011383),Limbe,South-West
UMTS,624,2,1005,35706,624023ED8B7A,0,9.207214,4.012715,1000,4,1,1461938873,1505872347,0,POINT (9.207214 4.012715),Limbe,South-West
UMTS,624,2,1005,35707,624023ED8B7B,0,9.19693,4.024429,1000,4,1,1470944826,1483419802,0,POINT (9.19693 4.024429),Limbe,South-West
UMTS,624,2,1005,35715,624023ED8B83,0,9.209976,4.00589,1000,2,1,1469178431,1481963434,0,POINT (9.209975999999999 4.00589),Limbe,South-West
UMTS,624,2,1005,35716,624023ED8B84,0,9.153671265,4.014816284,1000,1,1,1465218921,1465218921,0,POINT (9.1536712646484 4.0148162841797),Limbe,South-West
UMTS,624,2,1005,35721,624023ED8B89,0,9.207916,4.034042,1000,2,1,1458867131,1484557851,0,POINT (9.207916000000001 4.034041999999999),Limbe,South-West
UMTS,624,2,1005,35722,624023ED8B8A,0,9.208572,4.014434,1000,6,1,1463514188,1505872339,0,POINT (9.208572 4.014434),Limbe,South-West
UMTS,624,2,1005,35728,624023ED8B90,0,9.221649,3.963318,1000,2,1,1462962784,1480639161,0,POINT (9.221649000000001 3.963318),Limbe,South-West
UMTS,624,2,1005,35729,624023ED8B91,0,9.222336,3.972931,1155,4,1,1459390220,1484800904,0,POINT (9.222336 3.972931),Limbe,South-West
UMTS,624,2,1005,35731,624023ED8B93,0,10.1877594,5.164260864,1000,1,1,1473649972,1473649972,0,POINT (10.187759399414 5.1642608642578),Bafang,West
UMTS,624,2,1005,35732,624023ED8B94,0,10.18638611,5.164260864,1000,1,1,1486458404,1486458404,0,POINT (10.186386108398 5.1642608642578),Bafang,West
UMTS,624,2,1005,35733,624023ED8B95,0,10.191879,5.159454,1000,2,1,1471394191,1487397296,0,POINT (10.191879 5.159454),Bafang,West
UMTS,624,2,1005,35734,624023ED8B96,0,10.1877594,5.164260864,1000,2,1,1471133440,1473669080,0,POINT (10.187759399414 5.1642608642578),Bafang,West
UMTS,624,2,1005,35735,624023ED8B97,0,10.1877594,5.164260864,1000,1,1,1488727659,1488727659,0,POINT (10.187759399414 5.1642608642578),Bafang,West
